Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
21.76,2,0.0501439717145332116832936819,0.0541882961720264,0.0541882961720264,0.0502051202893954,0.0502051202893954,0.113186899811041,0.1150090936734535720492755045,0.0831485228751001720492755045,0.0318605707983534,3.8545091994085481750132071119,45.378258779409757262154584573,48.586592498810752208568424332,1609496000
21.77,2,0.0501394171488265362796596092,0.0541832879074749,0.0541832879074749,0.0502005601695774,0.0502005601695774,0.113174146222133,0.1149961730677749117446357783,0.0831356022694215117446357783,0.0318605707983534,3.853994088370466107852157619,45.3753079309819168336722068,48.583667913434711388552236169,1610236000
21.78,2,0.0501348689737370478498877402,0.0541782866279357,0.0541782866279357,0.0501960064481697,0.0501960064481697,0.113161409319624,0.1149832693821037675022789194,0.0831226985837503675022789194,0.0318605707983534,3.8534793947482961077972443018,45.372354718537726763890441008,48.580740358725953682942596383,1610976000
21.79,2,0.0501303355840515782418197017,0.0541733002158746,0.0541733002158746,0.0501914675301962,0.0501914675301962,0.113148673992698,0.1149703677899239941664353964,0.0831097969915705941664353964,0.0318605707983534,3.8529646925224872608208567344,45.369398031184104196004059378,48.577809231838685475110397285,1611715000
21.80,2,0.0501258059304736890768177829,0.0541683180900375,0.0541683180900375,0.0501869323528863,0.0501869323528863,0.113135954223283,0.1149574818953643185663930750,0.0830969110970109185663930750,0.0318605707983534,3.8524503701514829768523616919,45.36644938504490278775384164,48.574884045994403527963752729,1612455000
21.81,2,0.0501212720578176955534459817,0.0541633320869384,0.0541633320869384,0.0501823929513533,0.0501823929513533,0.113123244463268,0.1149446058687936083822753070,0.0830840350704402083822753070,0.0318605707983534,3.8519362593574736939501943488,45.363497198659856959245951241,48.571955033274143235661963733,1613194000
21.82,2,0.0501167519198230529682618361,0.0541583602530936,0.0541583602530936,0.0501778673012306,0.0501778673012306,0.113110546428708,0.1149317420550341374662829369,0.0830711712566807374662829369,0.0318605707983534,3.8514224260435184980867442823,45.360550641990641432592875807,48.56902997012691614577524154,1613934000
21.83,2,0.0501122360377802989146977736,0.0541533932231751,0.0541533932231751,0.0501733459122496,0.0501733459122496,0.113097863863086,0.1149188938684441999634902391,0.0830583230700907999634902391,0.0318605707983534,3.8509089667526264752344010647,45.3576088507201186479007939,48.566108029695264808843433536,1614674000
21.84,2,0.0501077142838965888504956247,0.0541484203913204,0.0541484203913204,0.0501688186442673,0.0501688186442673,0.11308518360694,0.1149060477874383216225787921,0.0830454769890849216225787921,0.0318605707983534,3.8503954928487280634515998717,45.354677023802640502791991363,48.563193972972393396108022177,1615414000
21.85,2,0.0501032085546401604841824217,0.0541434641087895,0.0541434641087895,0.0501643074204536,0.0501643074204536,0.113072517536492,0.1148932164610525424283336431,0.0830326456626991424283336431,0.0318605707983534,3.8498823654288909966246846797,45.351733701610957522375374365,48.560269144979140006784093245,1616153000
21.86,2,0.0500987054308555829557455132,0.0541385108571358,0.0541385108571358,0.0501597988052891,0.0501597988052891,0.113059863511537,0.1148803972785982345064072597,0.0830198264802448345064072597,0.0318605707983534,3.8493695084312157128120906646,45.348799269810348857377271373,48.55735102967093678647120951,1616893000
21.87,2,0.0500942074311664497459260784,0.0541335631566009,0.0541335631566009,0.0501552953204686,0.0501552953204686,0.113047221446449,0.1148675902424560269565199082,0.0830070194441026269565199082,0.0318605707983534,3.8488569206527226500722529992,45.345867192472504528090442496,48.554434032581767592983886373,1617633000
21.88,2,0.0500897154487469210459120685,0.0541286216176873,0.0541286216176873,0.0501507978602556,0.0501507978602556,0.113034583199759,0.1148547872374236491849984082,0.0829942164390702491849984082,0.0318605707983534,3.8483443683388695422915156596,45.342930748256108074544668218,48.551512594117733395925790166,1618372000
21.89,2,0.0500852159442712131114205097,0.0541236730767692,0.0541236730767692,0.0501462928688135,0.0501462928688135,0.113021960239541,0.1148419992651836920722515160,0.0829814284668302920722515160,0.0318605707983534,3.8478321653934811514852910212,45.33999975863784196863096667,48.548594842080461519005813421,1619112000
21.90,2,0.0500807434521786889529826295,0.0541187519461036,0.0541187519461036,0.0501418149226951,0.0501418149226951,0.113009347257436,0.1148292222215839475781002706,0.0829686514232305475781002706,0.0318605707983534,3.8473201929701065636259686579,45.337081490116396454079356868,48.5456870811489039659951908,1619851000
21.91,2,0.0500762625625845335998945115,0.0541138228827023,0.0541138228827023,0.0501373285688347,0.0501373285688347,0.11299674802449,0.1148164586419183105492411369,0.0829558878435649105492411369,0.0318605707983534,3.8468085224283862167719837457,45.334158481820456313168164477,48.542774314575152543532696706,1620591000
21.92,2,0.0500717767903577907016910309,0.0541088891174798,0.0541088891174798,0.0501328373263875,0.0501328373263875,0.112984154225142,0.1148037003284489372627402658,0.0829431295300955372627402658,0.0318605707983534,3.8462969176492791968957258605,45.331234166415469695681260595,48.539859666372499719626561654,1621331000
21.93,2,0.0500673170232072697080597464,0.0541039817336039,0.0541039817336039,0.0501283721207287,0.0501283721207287,0.112971569838174,0.1147909523423220842904020596,0.0829303815439686842904020596,0.0318605707983534,3.8457855223528089139265617755,45.328309829768622169690531783,48.536944108280703850744188052,1622070000
21.94,2,0.0500628508567923418300136797,0.0540990685263583,0.0540990685263583,0.0501239005080019,0.0501239005080019,0.112959002277977,0.1147782209694831224909183518,0.0829176501711297224909183518,0.0318605707983534,3.8452745153468514819659494676,45.325389822088851751243001099,48.534031203150097527129550351,1622810000
21.95,2,0.0500583878037330176408414508,0.0540941585209388,0.0540941585209388,0.0501194320124272,0.0501194320124272,0.112946437088116,0.1147654920772781830900230810,0.0829049212789247830900230810,0.0318605707983534,3.8447634904895603109432557107,45.322473109131255795059390766,48.531120397809158499456324891,1623550000
21.96,2,0.0500539317484753919655623614,0.0540892562802894,0.0540892562802894,0.0501149705231878,0.0501149705231878,0.112933893494687,0.1147527850393366927813217048,0.0828922142409832927813217048,0.0318605707983534,3.8442530015233844868308700803,45.319564352607681059426095874,48.528215208920395995921139713,1624289000
21.97,2,0.0500494782922019007703059152,0.0540843566842559,0.0540843566842559,0.0501105116361019,0.0501105116361019,0.112921351071805,0.1147400792635237678670128886,0.0828795084651703678670128886,0.0318605707983534,3.8437424572559344476872277528,45.316656163743304125809237655,48.525309803765433474516342946,1625029000
21.98,2,0.0500450389452950473606676191,0.0540794717072004,0.0540794717072004,0.0501060668755885,0.0501060668755885,0.112908822502988,0.1147273878435315855990755382,0.0828668170451781855990755382,0.0318605707983534,3.8432322315227379273986727002,45.313746076883592988152767229,48.52240175384566380563250878,1625769000
21.99,2,0.0500405955889442274597929180,0.0540745830517935,0.0540745830517935,0.0501016181007417,0.0501016181007417,0.112896303625509,0.1147147059806011040969264415,0.0828541351822477040969264415,0.0318605707983534,3.8427221855782667161096857004,45.310834315542637087971866356,48.519491358107581860024310283,1626508000
22.00,2,0.0500361648298409206365127007,0.054069707563399,0.054069707563399,0.0500971819385042,0.0500971819385042,0.112883800403902,0.1147020402235281192939579174,0.0828414694251747192939579174,0.0318605707983534,3.842212505760592871663587928,45.307935279845325347413725445,48.516590768337372611878885475,1627248000
22.01,2,0.0500317291761353151220482216,0.0540648272857823,0.0540648272857823,0.0500927408756957,0.0500927408756957,0.11287130045645,0.1146893775714737154735414105,0.0828288067731203154735414105,0.0318605707983534,3.8417028183519368321188145569,45.305032314147237560523603558,48.513686044710662976045412924,1627988000
22.02,2,0.0500272995057712130115060860,0.0540599533289735,0.0540599533289735,0.0500883058035252,0.0500883058035252,0.112858809859259,0.1146767244845775948189148542,0.0828161536862241948189148542,0.0318605707983534,3.8411933071505033594907779639,45.302127672532385973401889663,48.510778953452161751402047806,1628727000
22.03,2,0.0500228814309307628155954862,0.0540550915827731,0.0540550915827731,0.0500838823410186,0.0500838823410186,0.112846336268218,0.1146640888196160125028565695,0.0828035180212626125028565695,0.0318605707983534,3.8406841959652015397518677229,45.299235880211464188470085758,48.507881722768176245621456814,1629467000
22.04,2,0.0500184585815688603028799423,0.0540502253017728,0.0540502253017728,0.0500794540981681,0.0500794540981681,0.112833869792078,0.1146514601069588300082165373,0.0827908893086054300082165373,0.0318605707983534,3.8401751835920704588744734085,45.296335955755040852389555619,48.504976651524850611190066517,1630207000
