Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
19.99,4,0.0814076512606523048818485996,0.105186376249684,0.105186376249684,0.0818057150583998,0.0818057150583998,0.331502314039156,0.3380322217565052083541825377,0.2315311988932022083541825377,0.106501022863303,4.8419538900314290882823282926,49.046075734023958951551956184,49.046074854672990769830552241,1182861000
20.00,4,0.0813969959530117330509694085,0.105170665848743,0.105170665848743,0.0817950076488725,0.0817950076488725,0.331431141839634,0.3379601270267137980640375305,0.2314699850619907980640375305,0.106490141964723,4.8409212090867200538513781376,49.040700163605025911628841649,49.04069928292426683277601769,1183453000
20.01,4,0.0813863442188232402165210921,0.105154963140063,0.105154963140063,0.0817843038302706,0.0817843038302706,0.331360028166564,0.3378880912173908949022880809,0.2314088189424918949022880809,0.106479272274899,4.8398893721173369863989580492,49.035317903195082598712963223,49.03531702118422601773431026,1184045000
20.02,4,0.0813757120095885362754105653,0.105139285194365,0.105139285194365,0.0817736196320948,0.0817736196320948,0.331288987350288,0.3378161298147662489666845880,0.2313477161112922489666845880,0.106468413703474,4.8388586009471801053362576995,49.029947869922285473816197247,49.02994698658506426514504132,1184637000
20.03,4,0.0813650834157673405750377575,0.105123612648326,0.105123612648326,0.081762939067011,0.081762939067011,0.331217971670249,0.3377441938638075473930778939,0.2312866277037155473930778939,0.106457566160092,4.8378281943470496300744667567,49.024570240948755481964226745,49.024569356284584558487297351,1185228000
20.04,4,0.0813544742276923631094596907,0.105107968030652,0.105107968030652,0.0817522780025628,0.0817522780025628,0.331147075831361,0.3376723794102577773538126576,0.2312256498558647773538126576,0.106446729554393,4.8367995280709301039817520899,49.019201709904149508854045809,49.019200823916275975536331149,1185820000
20.05,4,0.0813438645037078702497085506,0.105092327561227,0.105092327561227,0.0817416163995847,0.0817416163995847,0.331076247035357,0.3376006321256462100901882567,0.2311647283296242100901882567,0.106435903796022,4.8357718239207574225123261668,49.013842685243494726813748226,49.013841797935080487922010811,1186412000
20.06,4,0.0813332804307785584406081818,0.105076718159455,0.105076718159455,0.0817309805730892,0.0817309805730892,0.331005493006462,0.3375289615931853024531736461,0.2311038727985643024531736461,0.106425088794621,4.8347452191659518050773786587,49.008484511843077214633021407,49.008483623215500926390575638,1187003000
20.07,4,0.0813226926742875358563233515,0.105061108764671,0.105061108764671,0.0817203410450204,0.0817203410450204,0.330934792141736,0.3374573440958741934112856082,0.2310430596360421934112856082,0.106414284459832,4.8337193740855277950450764343,49.003122722056861417367542394,49.00312183211052678217834828,1187595000
20.08,4,0.0813121274189070328384444413,0.10504552794251,0.10504552794251,0.0817097241280869,0.0817097241280869,0.330864175740663,0.3373858128495930774248607429,0.2309823221482960774248607429,0.106403490701297,4.8326947644619069639126547625,48.997773675906343684891663395,48.997772784645193724994448935,1188187000
20.09,4,0.0813015726235249559805721302,0.105029962267514,0.105029962267514,0.0816991177222988,0.0816991177222988,0.330793625270696,0.3373143484304260986358786229,0.2309216410017650986358786229,0.106392707428661,4.8316711120679738550482805142,48.992425556623236397606418259,48.992424664048660463081566695,1188779000
20.10,4,0.0812910313733575662531150777,0.105014411904492,0.105014411904492,0.0816885249279583,0.0816885249279583,0.330723098644068,0.3372429088646263287577773833,0.2308609743130613287577773833,0.106381934551565,4.830647815674147335777097754,48.987071594108861409996342899,48.987070700220762771080510317,1189370000
20.11,4,0.0812804984696030437639503369,0.104998877855011,0.104998877855011,0.0816779405208426,0.0816779405208426,0.330652685076143,0.3371715832200987447238535909,0.2308004112404467447238535909,0.106371171979652,4.8296261510841446536393645568,48.98173006970389915388901032,48.981729174506251893131168047,1189962000
20.12,4,0.0812699769982795218212582318,0.104983360396597,0.104983360396597,0.0816673676020596,0.0816673676020596,0.330582344079548,0.3371003311274560302948917512,0.2307399115048910302948917512,0.106360419622565,4.8286055400491146759602249874,48.9763879257589774943904763,48.976387029252919980865245269,1190554000
20.13,4,0.0812594580423598989648269757,0.104967849610476,0.104967849610476,0.0816567972109803,0.0816567972109803,0.330512062265074,0.3370291385382046283278932470,0.2306794611482596283278932470,0.106349677389945,4.8275857813392232981938915169,48.971051769143683374444203045,48.971050871331733760867957565,1191145000
20.14,4,0.0812489584076885307459170200,0.104952360764825,0.104952360764825,0.0816462462356255,0.0816462462356255,0.33044181587812,0.3369579828206640123783322187,0.2306190376292280123783322187,0.106338945191436,4.8265665507795107397515538155,48.965715362512655763158110409,48.965714463395946587330105633,1191737000
20.15,4,0.0812384681553734246693165366,0.104936888197587,0.104936888197587,0.0816357046885044,0.0816357046885044,0.330371667124061,0.3368869256337136893372185311,0.2305587026970326893372185311,0.106328222936681,4.82554873156838154400137875,48.960381785935457919571931092,48.960380885515957344061583876,1192329000
20.16,4,0.0812279993226622069465026165,0.104921440149414,0.104921440149414,0.0816251846657239,0.0816251846657239,0.330301560444916,0.3368159121295485320662298949,0.2304984015942275320662298949,0.106317510535321,4.8245315380689116063975787902,48.955055802070825441058201236,48.955054900351383228066710347,1192921000
20.17,4,0.0812175349864939265139576566,0.104906003657609,0.104906003657609,0.0816146691614734,0.0816146691614734,0.330231554253737,0.3367449996746982880419478123,0.2304381917776972880419478123,0.106306807897001,4.8235157919960811463513436071,48.949730654181267917041925033,48.949729751163438983419513116,1193512000
20.18,4,0.0812070778969939939191098484,0.10489057903806,0.10489057903806,0.0816041609393257,0.0816041609393257,0.330161613450521,0.3366741532766950359749881384,0.2303780383453340359749881384,0.106296114931361,4.8225009921197647072308400673,48.944408207338962967110476395,48.944407303024661181912389402,1194104000
20.19,4,0.0811966421968509157119848952,0.104875178889457,0.104875178889457,0.0815936742111236,0.0815936742111236,0.33009171446981,0.3366033503063257487197434011,0.2303179187582797487197434011,0.106285431548046,4.8214868143003038605333034438,48.939090811512326856440115748,48.939089905903859377936650608,1194696000
20.20,4,0.0811862068564000032591627803,0.104859785645372,0.104859785645372,0.0815831878443725,0.0815831878443725,0.330021909046699,0.3365326411472902013017520013,0.2302578834905942013017520013,0.106274757656696,4.8204739802311361214978322008,48.933777569423687847342320735,48.933776662523403473201688852,1195288000
20.21,4,0.0811757749526508332965369235,0.104844398488402,0.104844398488402,0.0815727049311278,0.0815727049311278,0.32995214116533,0.3364619698631628821290554350,0.2301978766962058821290554350,0.106264093166957,4.8194616886818700897507300107,48.928463044912935116023480993,48.92846213672178566842503264,1195879000
