% Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Mach number (?)
1.1503,226.97,398.27,350.23,18.591,0.36156
1.1603,230.97,401.78,350.17,19.02,0.36478
1.1703,235,405.28,350.11,19.456,0.368
1.1803,239.07,408.78,350.05,19.901,0.37122
1.1903,243.18,412.28,350.01,20.353,0.37444
1.2003,247.32,415.78,349.97,20.814,0.37766
1.2103,251.49,419.28,349.93,21.283,0.38088
1.2203,255.7,422.78,349.91,21.761,0.38411
1.2303,259.95,426.28,349.89,22.247,0.38733
1.2403,264.23,429.78,349.89,22.741,0.39056
1.2503,268.54,433.28,349.9,23.244,0.39378
1.2603,272.89,436.78,349.91,23.755,0.39701
1.2703,277.28,440.29,349.94,24.276,0.40024
1.2803,281.7,443.79,349.99,24.804,0.40347
1.2903,286.16,447.29,350.05,25.342,0.4067
1.3003,290.65,450.79,350.12,25.888,0.40993
1.3103,295.17,454.29,350.2,26.443,0.41317
1.3203,299.73,457.8,350.3,27.007,0.4164
1.3303,304.33,461.3,350.42,27.579,0.41964
1.3403,308.96,464.81,350.55,28.16,0.42287
1.3503,313.62,468.31,350.7,28.75,0.42611
1.3603,318.32,471.82,350.86,29.348,0.42935
1.3703,323.06,475.33,351.03,29.956,0.43259
1.3803,327.83,478.84,351.22,30.572,0.43583
1.3903,332.64,482.36,351.42,31.196,0.43908
1.4003,337.48,485.87,351.63,31.829,0.44232
1.4103,342.35,489.39,351.86,32.471,0.44557
1.4203,347.27,492.91,352.1,33.121,0.44882
1.4303,352.21,496.44,352.35,33.779,0.45207
1.4403,357.19,499.96,352.61,34.446,0.45532
1.4503,362.21,503.49,352.88,35.121,0.45857
1.4603,367.26,507.02,353.15,35.804,0.46182
1.4703,372.35,510.56,353.44,36.496,0.46508
1.4803,377.48,514.09,353.73,37.195,0.46833
1.4903,382.63,517.63,354.02,37.902,0.47159
1.5003,387.83,521.18,354.31,38.617,0.47485
1.5103,393.06,524.72,354.61,39.34,0.47811
1.5203,398.32,528.27,354.91,40.071,0.48137
1.5303,403.62,531.82,355.2,40.808,0.48463
1.5403,408.96,535.38,355.5,41.554,0.48789
1.5503,414.33,538.93,355.79,42.306,0.49116
1.5603,419.74,542.49,356.08,43.066,0.49442
1.5703,425.18,546.06,356.36,43.832,0.49769
1.5803,430.66,549.62,356.64,44.606,0.50095
1.5903,436.17,553.19,356.91,45.386,0.50422
1.6003,441.72,556.76,357.18,46.174,0.50749
1.6103,447.31,560.34,357.44,46.967,0.51075
1.6203,452.93,563.92,357.69,47.767,0.51402
1.6303,458.59,567.49,357.94,48.574,0.51729
1.6403,464.28,571.08,358.17,49.387,0.52056
1.6503,470.01,574.66,358.4,50.205,0.52383
1.6603,475.77,578.25,358.61,51.03,0.52711
1.6703,481.57,581.83,358.81,51.861,0.53038
1.6803,487.41,585.42,359,52.698,0.53365
1.6903,493.28,589.02,359.18,53.54,0.53692
1.7003,499.19,592.61,359.34,54.388,0.5402
1.7103,505.13,596.21,359.49,55.242,0.54347
1.7203,511.11,599.8,359.63,56.101,0.54674
1.7303,517.13,603.4,359.75,56.966,0.55002
1.7403,523.18,607,359.86,57.836,0.55329
1.7503,529.27,610.6,359.95,58.711,0.55657
1.7603,535.39,614.2,360.03,59.592,0.55985
1.7703,541.55,617.8,360.09,60.478,0.56312
1.7803,547.75,621.4,360.13,61.369,0.5664
1.7903,553.98,625.01,360.16,62.266,0.56968
1.8003,560.25,628.61,360.17,63.168,0.57296
1.8103,566.55,632.21,360.16,64.075,0.57624
1.8203,572.89,635.81,360.14,64.988,0.57952
1.8303,579.27,639.42,360.1,65.906,0.5828
1.8403,585.68,643.02,360.05,66.83,0.58608
1.8503,592.13,646.62,359.97,67.76,0.58936
1.8603,598.61,650.22,359.88,68.695,0.59265
1.8703,605.13,653.82,359.77,69.635,0.59593
1.8803,611.69,657.42,359.65,70.582,0.59922
1.8903,618.28,661.01,359.51,71.534,0.6025
1.9003,624.91,664.61,359.36,72.493,0.60579
1.9103,631.58,668.2,359.19,73.457,0.60908
1.9203,638.28,671.8,359,74.428,0.61237
1.9303,645.01,675.39,358.81,75.406,0.61565
1.9403,651.78,678.97,358.6,76.39,0.61894
1.9503,658.59,682.56,358.38,77.38,0.62223
1.9603,665.43,686.14,358.16,78.378,0.62552
1.9703,672.31,689.73,357.93,79.382,0.62881
1.9803,679.23,693.31,357.68,80.393,0.63211
1.9903,686.18,696.88,357.44,81.412,0.6354
2.0003,693.17,700.46,357.2,82.438,0.63869
2.0103,700.19,704.03,356.95,83.472,0.64198
2.0203,707.25,707.6,356.71,84.513,0.64527
2.0303,714.34,711.16,356.47,85.562,0.64856
2.0403,721.47,714.73,356.24,86.619,0.65185
2.0503,728.64,718.29,356.03,87.683,0.65515
2.0603,735.84,721.85,355.83,88.756,0.65844
2.0702,743.07,725.41,355.65,89.838,0.66173
2.0802,750.34,728.97,355.49,90.927,0.66502
2.0902,757.65,732.52,355.35,92.025,0.66832
2.1002,764.99,736.08,355.24,93.131,0.67161
2.1102,772.37,739.63,355.16,94.245,0.6749
2.1202,779.79,743.18,355.11,95.369,0.67819
2.1302,787.24,746.73,355.09,96.5,0.68149
2.1402,794.72,750.29,355.1,97.64,0.68478
2.1502,802.24,753.84,355.14,98.789,0.68807
2.1602,809.8,757.39,355.22,99.946,0.69136
2.1702,817.39,760.94,355.32,101.11,0.69466
2.1802,825.02,764.5,355.44,102.29,0.69795
2.1902,832.68,768.05,355.6,103.47,0.70125
2.2002,840.38,771.61,355.77,104.66,0.70454
2.2102,848.11,775.17,355.96,105.86,0.70784
2.2202,855.88,778.73,356.17,107.06,0.71113
2.2302,863.69,782.3,356.39,108.28,0.71443
2.2402,871.53,785.86,356.61,109.5,0.71772
2.2502,879.4,789.43,356.84,110.73,0.72102
2.2602,887.32,793,357.07,111.97,0.72431
2.2702,895.26,796.58,357.3,113.21,0.72761
2.2802,903.25,800.15,357.52,114.47,0.7309
2.2902,911.27,803.73,357.73,115.72,0.7342
2.3002,919.32,807.31,357.93,116.99,0.7375
2.3102,927.41,810.89,358.12,118.26,0.74079
2.3202,935.54,814.47,358.29,119.54,0.74408
2.3302,943.7,818.06,358.45,120.83,0.74738
2.3402,951.9,821.64,358.58,122.12,0.75067
2.3502,960.14,825.23,358.69,123.42,0.75397
2.3602,968.41,828.82,358.78,124.73,0.75726
2.3702,976.71,832.41,358.84,126.04,0.76055
2.3802,985.05,836,358.87,127.35,0.76384
2.3902,993.43,839.59,358.87,128.68,0.76713
2.4002,1001.8,843.18,358.84,130.01,0.77042
2.4102,1010.3,846.77,358.77,131.34,0.77371
2.4202,1018.8,850.36,358.68,132.68,0.777
2.4302,1027.3,853.94,358.55,134.03,0.78029
2.4402,1035.9,857.53,358.39,135.38,0.78358
2.4502,1044.5,861.11,358.2,136.74,0.78687
2.4602,1053.1,864.69,357.98,138.1,0.79016
2.4702,1061.7,868.27,357.72,139.47,0.79344
2.4802,1070.4,871.85,357.44,140.85,0.79673
2.4902,1079.2,875.42,357.13,142.23,0.80002
2.5002,1088,879,356.79,143.62,0.8033
2.5102,1096.8,882.56,356.43,145.02,0.80659
2.5202,1105.6,886.13,356.04,146.42,0.80988
2.5302,1114.5,889.69,355.64,147.83,0.81316
2.5402,1123.4,893.24,355.23,149.24,0.81644
2.5502,1132.4,896.79,354.81,150.67,0.81973
2.5602,1141.3,900.34,354.38,152.1,0.82301
2.5702,1150.4,903.88,353.95,153.53,0.82629
2.5802,1159.4,907.42,353.52,154.98,0.82957
2.5902,1168.5,910.95,353.1,156.43,0.83285
2.6002,1177.6,914.48,352.7,157.89,0.83613
2.6102,1186.8,918.01,352.32,159.36,0.8394
2.6202,1196,921.53,351.97,160.84,0.84268
2.6302,1205.2,925.05,351.65,162.32,0.84595
2.6402,1214.5,928.57,351.37,163.82,0.84923
2.6502,1223.8,932.08,351.14,165.32,0.8525
2.6602,1233.1,935.59,350.95,166.83,0.85577
2.6702,1242.5,939.1,350.8,168.35,0.85904
2.6802,1251.9,942.61,350.69,169.87,0.8623
2.6902,1261.4,946.12,350.63,171.41,0.86557
2.7002,1270.8,949.63,350.61,172.95,0.86884
2.7102,1280.4,953.13,350.62,174.5,0.8721
2.7202,1289.9,956.64,350.65,176.06,0.87536
2.7302,1299.5,960.15,350.71,177.63,0.87862
2.7402,1309.1,963.66,350.77,179.21,0.88188
2.7502,1318.8,967.17,350.85,180.79,0.88514
2.7602,1328.5,970.68,350.92,182.38,0.8884
2.7702,1338.2,974.19,350.98,183.98,0.89165
2.7802,1347.9,977.7,351.03,185.58,0.8949
2.7902,1357.7,981.21,351.06,187.19,0.89815
2.8002,1367.6,984.72,351.11,188.81,0.9014
2.8102,1377.4,988.24,351.23,190.43,0.90465
2.8202,1387.3,991.75,351.32,192.07,0.90789
2.8302,1397.3,995.26,351.37,193.7,0.91114
2.8402,1407.2,998.78,351.38,195.35,0.91438
2.8502,1417.2,1002.3,351.35,197,0.91763
2.8602,1427.3,1005.8,351.28,198.65,0.92087
2.8702,1437.3,1009.3,351.17,200.32,0.92411
2.8802,1447.5,1012.8,351.01,201.98,0.92735
2.8902,1457.6,1016.3,350.8,203.66,0.93058
2.9002,1467.8,1019.9,350.54,205.34,0.93382
2.9102,1478,1023.4,350.24,207.03,0.93706
2.9202,1488.3,1026.9,349.89,208.72,0.94029
2.9302,1498.5,1030.4,349.51,210.42,0.94353
2.9402,1508.9,1033.8,349.09,212.12,0.94676
2.9502,1519.2,1037.3,348.64,213.83,0.94999
2.9602,1529.6,1040.8,348.13,215.55,0.95323
2.9702,1540,1044.3,347.6,217.28,0.95645
2.9802,1550.5,1047.8,347.07,219.01,0.95968
2.9902,1561,1051.2,346.52,220.75,0.96291
3.0002,1571.5,1054.7,345.99,222.49,0.96613
3.0102,1582.1,1058.2,345.46,224.25,0.96936
3.0202,1592.7,1061.6,344.95,226.01,0.97258
3.0302,1603.3,1065.1,344.48,227.78,0.9758
3.0402,1614,1068.5,344.06,229.56,0.97902
3.0502,1624.7,1072,343.68,231.34,0.98223
3.0602,1635.4,1075.4,343.36,233.14,0.98545
3.0702,1646.2,1078.8,343.11,234.94,0.98866
3.0802,1657,1082.3,342.91,236.75,0.99187
3.0902,1667.8,1085.7,342.78,238.57,0.99508
3.1002,1678.7,1089.1,342.7,240.4,0.99828
3.1102,1689.6,1092.5,342.73,242.23,1.0015
3.1202,1700.6,1096,342.86,244.07,1.0047
3.1302,1711.5,1099.4,343.02,245.92,1.0079
3.1402,1722.6,1102.8,343.2,247.78,1.0111
3.1502,1733.6,1106.3,343.39,249.64,1.0143
3.1602,1744.7,1109.7,343.58,251.51,1.0175
3.1702,1755.8,1113.1,343.75,253.39,1.0207
3.1802,1766.9,1116.6,343.91,255.28,1.0239
3.1902,1778.1,1120,344.05,257.17,1.0271
3.2002,1789.3,1123.5,344.14,259.07,1.0303
3.2102,1800.6,1126.9,344.19,260.98,1.0335
3.2202,1811.9,1130.3,344.19,262.89,1.0367
3.2302,1823.2,1133.8,344.13,264.81,1.0399
3.2402,1834.6,1137.2,344.01,266.73,1.0431
3.2502,1845.9,1140.7,343.84,268.66,1.0463
3.2602,1857.4,1144.1,343.6,270.59,1.0494
3.2702,1868.8,1147.5,343.35,272.54,1.0526
3.2802,1880.3,1151,343.05,274.49,1.0558
3.2902,1891.8,1154.4,342.7,276.44,1.059
3.3002,1903.4,1157.8,342.31,278.4,1.0622
3.3102,1915,1161.3,341.88,280.37,1.0654
3.3202,1926.6,1164.7,341.43,282.34,1.0686
3.3302,1938.3,1168.1,340.97,284.32,1.0718
3.3402,1950,1171.5,340.5,286.31,1.0749
3.3502,1961.7,1174.9,340.04,288.31,1.0781
3.3602,1973.5,1178.3,339.6,290.31,1.0813
3.3702,1985.3,1181.7,339.2,292.32,1.0845
3.3802,1997.1,1185.1,338.85,294.34,1.0877
3.3902,2009,1188.5,338.56,296.37,1.0909
3.4002,2020.9,1191.9,338.33,298.4,1.094
3.4102,2032.8,1195.2,338.19,300.44,1.0972
3.4202,2044.8,1198.6,338.12,302.49,1.1004
3.4302,2056.8,1202,338.18,304.55,1.1036
3.4402,2068.8,1205.4,338.3,306.62,1.1067
3.4502,2080.9,1208.8,338.48,308.69,1.1099
3.4602,2093,1212.2,338.7,310.77,1.1131
3.4702,2105.2,1215.6,338.95,312.86,1.1163
3.4802,2117.3,1218.9,339.22,314.95,1.1195
3.4902,2129.5,1222.3,339.48,317.06,1.1226
3.5002,2141.8,1225.7,339.73,319.17,1.1258
3.5102,2154,1229.1,339.96,321.29,1.129
3.5202,2166.4,1232.5,340.14,323.41,1.1322
3.5302,2178.7,1235.9,340.28,325.54,1.1353
3.5402,2191.1,1239.3,340.37,327.68,1.1385
3.5502,2203.5,1242.8,340.39,329.82,1.1417
3.5602,2215.9,1246.2,340.34,331.97,1.1449
3.5702,2228.4,1249.6,340.22,334.12,1.148
3.5802,2240.9,1253,340.04,336.28,1.1512
3.5902,2253.5,1256.4,339.79,338.45,1.1544
3.6002,2266.1,1259.8,339.48,340.62,1.1575
3.6102,2278.7,1263.2,339.13,342.8,1.1607
3.6202,2291.3,1266.5,338.73,344.99,1.1639
3.6302,2304,1269.9,338.31,347.18,1.1671
3.6402,2316.7,1273.3,337.88,349.39,1.1702
3.6502,2329.5,1276.7,337.45,351.59,1.1734
3.6602,2342.2,1280.1,337.04,353.81,1.1766
3.6702,2355.1,1283.4,336.66,356.03,1.1797
3.6802,2367.9,1286.8,336.33,358.26,1.1829
3.6902,2380.8,1290.2,336.07,360.5,1.1861
3.7002,2393.7,1293.5,335.88,362.74,1.1892
3.7102,2406.7,1296.9,335.77,365,1.1924
3.7202,2419.7,1300.2,335.74,367.26,1.1956
3.7302,2432.7,1303.6,335.79,369.53,1.1987
3.7402,2445.7,1307,335.91,371.8,1.2019
3.7502,2458.8,1310.3,336.1,374.09,1.2051
3.7602,2471.9,1313.7,336.33,376.38,1.2082
