% Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Mach number (?)
26.87,33995,585.87,-40.521,7162.5,0.63399
26.88,34001,585.46,-40.507,7164.4,0.6336
26.89,34007,585.06,-40.493,7166.3,0.63322
26.9,34013,584.65,-40.479,7168.2,0.63284
26.91,34019,584.25,-40.465,7170.1,0.63245
26.92,34025,583.84,-40.451,7172,0.63207
26.93,34030,583.44,-40.437,7173.9,0.63169
26.94,34036,583.03,-40.423,7175.8,0.6313
26.95,34042,582.63,-40.409,7177.7,0.63092
26.96,34048,582.22,-40.395,7179.6,0.63054
26.97,34054,581.82,-40.381,7181.5,0.63016
26.98,34060,581.42,-40.367,7183.4,0.62977
26.99,34065,581.01,-40.353,7185.3,0.62939
27,34071,580.61,-40.339,7187.2,0.62901
27.01,34077,580.21,-40.325,7189.1,0.62863
27.02,34083,579.8,-40.311,7191,0.62825
27.03,34089,579.4,-40.297,7192.9,0.62787
27.04,34094,579,-40.283,7194.8,0.62748
27.05,34100,578.59,-40.27,7196.7,0.6271
27.06,34106,578.19,-40.256,7198.5,0.62672
27.07,34112,577.79,-40.242,7200.4,0.62634
27.08,34118,577.39,-40.228,7202.3,0.62596
27.09,34123,576.98,-40.215,7204.2,0.62558
27.1,34129,576.58,-40.201,7206.1,0.6252
27.11,34135,576.18,-40.187,7208,0.62482
27.12,34141,575.78,-40.174,7209.9,0.62444
27.13,34146,575.38,-40.16,7211.8,0.62406
27.14,34152,574.98,-40.146,7213.7,0.62368
27.15,34158,574.57,-40.133,7215.6,0.6233
27.16,34164,574.17,-40.119,7217.5,0.62292
27.17,34169,573.77,-40.105,7219.4,0.62254
27.18,34175,573.37,-40.092,7221.3,0.62216
27.19,34181,572.97,-40.078,7223.2,0.62178
27.2,34187,572.57,-40.065,7225.1,0.6214
27.21,34192,572.17,-40.051,7227,0.62102
27.22,34198,571.77,-40.038,7228.8,0.62064
27.23,34204,571.37,-40.024,7230.7,0.62026
27.24,34209,570.97,-40.011,7232.6,0.61988
27.25,34215,570.57,-39.998,7234.5,0.61951
27.26,34221,570.17,-39.984,7236.4,0.61913
27.27,34227,569.77,-39.971,7238.3,0.61875
27.28,34232,569.37,-39.958,7240.2,0.61837
27.29,34238,568.97,-39.944,7242.1,0.61799
27.3,34244,568.57,-39.931,7244,0.61762
27.31,34249,568.17,-39.918,7245.9,0.61724
27.32,34255,567.77,-39.904,7247.7,0.61686
27.33,34261,567.37,-39.891,7249.6,0.61648
27.34,34266,566.97,-39.878,7251.5,0.6161
27.35,34272,566.57,-39.865,7253.4,0.61573
27.36,34278,566.18,-39.852,7255.3,0.61535
27.37,34283,565.78,-39.839,7257.2,0.61497
27.38,34289,565.38,-39.826,7259.1,0.6146
27.39,34295,564.98,-39.812,7261,0.61422
27.4,34300,564.58,-39.799,7262.8,0.61384
27.41,34306,564.19,-39.786,7264.7,0.61347
27.42,34312,563.79,-39.773,7266.6,0.61309
27.43,34317,563.39,-39.76,7268.5,0.61271
27.44,34323,562.99,-39.747,7270.4,0.61234
27.45,34328,562.59,-39.734,7272.3,0.61196
27.46,34334,562.2,-39.721,7274.2,0.61159
27.47,34340,561.8,-39.709,7276,0.61121
27.48,34345,561.4,-39.696,7277.9,0.61084
27.49,34351,561.01,-39.683,7279.8,0.61046
27.5,34357,560.61,-39.67,7281.7,0.61008
27.51,34362,560.21,-39.657,7283.6,0.60971
27.52,34368,559.82,-39.644,7285.5,0.60933
27.53,34373,559.42,-39.632,7287.3,0.60896
27.54,34379,559.02,-39.619,7289.2,0.60858
27.55,34384,558.63,-39.606,7291.1,0.60821
27.56,34390,558.23,-39.594,7293,0.60784
27.57,34396,557.84,-39.581,7294.9,0.60746
27.58,34401,557.44,-39.568,7296.7,0.60709
27.59,34407,557.04,-39.556,7298.6,0.60671
27.6,34412,556.65,-39.543,7300.5,0.60634
27.61,34418,556.25,-39.53,7302.4,0.60596
27.62,34423,555.86,-39.518,7304.3,0.60559
27.63,34429,555.46,-39.505,7306.1,0.60522
27.64,34435,555.07,-39.493,7308,0.60484
27.65,34440,554.67,-39.48,7309.9,0.60447
27.66,34446,554.28,-39.468,7311.8,0.6041
27.67,34451,553.88,-39.456,7313.7,0.60372
27.68,34457,553.49,-39.443,7315.5,0.60335
27.69,34462,553.1,-39.431,7317.4,0.60298
27.7,34468,552.7,-39.419,7319.3,0.60261
27.71,34473,552.31,-39.406,7321.2,0.60223
27.72,34479,551.91,-39.394,7323,0.60186
27.73,34484,551.52,-39.382,7324.9,0.60149
27.74,34490,551.13,-39.37,7326.8,0.60112
27.75,34495,550.73,-39.358,7328.7,0.60074
27.76,34501,550.34,-39.345,7330.5,0.60037
27.77,34506,549.94,-39.333,7332.4,0.6
27.78,34512,549.55,-39.321,7334.3,0.59963
27.79,34517,549.16,-39.309,7336.2,0.59926
27.8,34523,548.77,-39.297,7338,0.59888
27.81,34528,548.37,-39.285,7339.9,0.59851
27.82,34534,547.98,-39.273,7341.8,0.59814
27.83,34539,547.59,-39.261,7343.7,0.59777
27.84,34545,547.19,-39.249,7345.5,0.5974
27.85,34550,546.8,-39.237,7347.4,0.59703
27.86,34556,546.41,-39.225,7349.3,0.59666
27.87,34561,546.02,-39.213,7351.2,0.59629
27.88,34567,545.63,-39.201,7353,0.59592
27.89,34572,545.23,-39.189,7354.9,0.59555
27.9,34578,544.84,-39.177,7356.8,0.59518
27.91,34583,544.45,-39.165,7358.6,0.59481
27.92,34588,544.06,-39.153,7360.5,0.59444
27.93,34594,543.67,-39.141,7362.4,0.59407
27.94,34599,543.28,-39.129,7364.3,0.5937
27.95,34605,542.88,-39.117,7366.1,0.59333
27.96,34610,542.49,-39.106,7368,0.59296
27.97,34616,542.1,-39.094,7369.9,0.59259
27.98,34621,541.71,-39.082,7371.7,0.59222
27.99,34626,541.32,-39.07,7373.6,0.59185
28,34632,540.93,-39.058,7375.5,0.59148
28.01,34637,540.54,-39.047,7377.3,0.59111
28.02,34643,540.15,-39.035,7379.2,0.59074
28.03,34648,539.76,-39.023,7381.1,0.59037
28.04,34653,539.37,-39.011,7383,0.59
28.05,34659,538.98,-39,7384.8,0.58964
28.06,34664,538.59,-38.988,7386.7,0.58927
28.07,34670,538.2,-38.976,7388.6,0.5889
28.08,34675,537.81,-38.965,7390.4,0.58853
28.09,34680,537.42,-38.953,7392.3,0.58816
28.1,34686,537.03,-38.942,7394.2,0.58779
28.11,34691,536.64,-38.93,7396,0.58743
28.12,34697,536.25,-38.918,7397.9,0.58706
28.13,34702,535.86,-38.907,7399.7,0.58669
28.14,34707,535.47,-38.895,7401.6,0.58632
28.15,34713,535.08,-38.884,7403.5,0.58596
28.16,34718,534.7,-38.872,7405.3,0.58559
28.17,34723,534.31,-38.861,7407.2,0.58522
28.18,34729,533.92,-38.849,7409.1,0.58486
28.19,34734,533.53,-38.838,7410.9,0.58449
28.2,34739,533.14,-38.826,7412.8,0.58412
28.21,34745,532.75,-38.815,7414.7,0.58376
28.22,34750,532.37,-38.804,7416.5,0.58339
28.23,34755,531.98,-38.792,7418.4,0.58302
28.24,34761,531.59,-38.781,7420.2,0.58266
28.25,34766,531.2,-38.77,7422.1,0.58229
28.26,34771,530.81,-38.758,7424,0.58192
28.27,34777,530.43,-38.747,7425.8,0.58156
28.28,34782,530.04,-38.736,7427.7,0.58119
28.29,34787,529.65,-38.724,7429.6,0.58083
28.3,34792,529.26,-38.713,7431.4,0.58046
28.31,34798,528.88,-38.702,7433.3,0.5801
28.32,34803,528.49,-38.691,7435.1,0.57973
28.33,34808,528.1,-38.68,7437,0.57937
28.34,34814,527.72,-38.668,7438.9,0.579
28.35,34819,527.33,-38.657,7440.7,0.57864
28.36,34824,526.94,-38.646,7442.6,0.57827
28.37,34829,526.56,-38.635,7444.4,0.57791
28.38,34835,526.17,-38.624,7446.3,0.57754
28.39,34840,525.78,-38.613,7448.1,0.57718
28.4,34845,525.4,-38.602,7450,0.57681
28.41,34850,525.01,-38.591,7451.9,0.57645
28.42,34856,524.63,-38.58,7453.7,0.57608
28.43,34861,524.24,-38.569,7455.6,0.57572
28.44,34866,523.86,-38.558,7457.4,0.57536
28.45,34871,523.47,-38.547,7459.3,0.57499
28.46,34877,523.08,-38.536,7461.1,0.57463
28.47,34882,522.7,-38.525,7463,0.57427
28.48,34887,522.31,-38.514,7464.9,0.5739
28.49,34892,521.93,-38.503,7466.7,0.57354
28.5,34897,521.54,-38.492,7468.6,0.57318
28.51,34903,521.16,-38.482,7470.4,0.57281
28.52,34908,520.77,-38.471,7472.3,0.57245
28.53,34913,520.39,-38.46,7474.1,0.57209
28.54,34918,520.01,-38.449,7476,0.57172
28.55,34924,519.62,-38.438,7477.8,0.57136
28.56,34929,519.24,-38.428,7479.7,0.571
28.57,34934,518.85,-38.417,7481.6,0.57064
28.58,34939,518.47,-38.406,7483.4,0.57027
28.59,34944,518.08,-38.395,7485.3,0.56991
28.6,34949,517.7,-38.385,7487.1,0.56955
28.61,34955,517.32,-38.374,7489,0.56919
28.62,34960,516.93,-38.363,7490.8,0.56883
28.63,34965,516.55,-38.353,7492.7,0.56846
28.64,34970,516.17,-38.342,7494.5,0.5681
28.65,34975,515.78,-38.331,7496.4,0.56774
28.66,34980,515.4,-38.321,7498.2,0.56738
28.67,34986,515.02,-38.31,7500.1,0.56702
28.68,34991,514.63,-38.3,7501.9,0.56666
28.69,34996,514.25,-38.289,7503.8,0.5663
28.7,35001,513.87,-38.279,7505.6,0.56594
28.71,35006,513.48,-38.268,7507.5,0.56557
28.72,35011,513.1,-38.258,7509.3,0.56521
28.73,35016,512.72,-38.247,7511.2,0.56485
28.74,35022,512.34,-38.237,7513,0.56449
28.75,35027,511.95,-38.226,7514.9,0.56413
28.76,35032,511.57,-38.216,7516.7,0.56377
28.77,35037,511.19,-38.205,7518.6,0.56341
28.78,35042,510.81,-38.195,7520.4,0.56305
28.79,35047,510.43,-38.185,7522.3,0.56269
28.8,35052,510.04,-38.174,7524.1,0.56233
28.81,35057,509.66,-38.164,7526,0.56197
28.82,35062,509.28,-38.153,7527.8,0.56161
28.83,35068,508.9,-38.143,7529.6,0.56125
28.84,35073,508.52,-38.133,7531.5,0.56089
28.85,35078,508.14,-38.122,7533.3,0.56053
28.86,35083,507.76,-38.112,7535.2,0.56018
28.87,35088,507.37,-38.102,7537,0.55982
28.88,35093,506.99,-38.091,7538.9,0.55946
28.89,35098,506.61,-38.081,7540.7,0.5591
28.9,35103,506.23,-38.071,7542.6,0.55874
28.91,35108,505.85,-38.061,7544.4,0.55838
28.92,35113,505.47,-38.05,7546.3,0.55802
28.93,35118,505.09,-38.04,7548.1,0.55766
28.94,35123,504.71,-38.03,7549.9,0.55731
28.95,35128,504.33,-38.02,7551.8,0.55695
28.96,35133,503.95,-38.01,7553.6,0.55659
28.97,35138,503.57,-38,7555.5,0.55623
28.98,35143,503.19,-37.989,7557.3,0.55587
28.99,35148,502.81,-37.979,7559.2,0.55552
29,35153,502.43,-37.969,7561,0.55516
29.01,35158,502.05,-37.959,7562.8,0.5548
29.02,35164,501.67,-37.949,7564.7,0.55444
29.03,35169,501.29,-37.939,7566.5,0.55409
29.04,35174,500.91,-37.929,7568.4,0.55373
29.05,35179,500.53,-37.919,7570.2,0.55337
29.06,35184,500.15,-37.909,7572.1,0.55302
29.07,35189,499.77,-37.899,7573.9,0.55266
29.08,35194,499.4,-37.889,7575.7,0.5523
29.09,35199,499.02,-37.879,7577.6,0.55195
29.1,35204,498.64,-37.869,7579.4,0.55159
29.11,35209,498.26,-37.859,7581.3,0.55123
29.12,35213,497.88,-37.849,7583.1,0.55088
29.13,35218,497.5,-37.839,7584.9,0.55052
29.14,35223,497.12,-37.829,7586.8,0.55016
29.15,35228,496.75,-37.819,7588.6,0.54981
29.16,35233,496.37,-37.809,7590.4,0.54945
29.17,35238,495.99,-37.8,7592.3,0.5491
29.18,35243,495.61,-37.79,7594.1,0.54874
29.19,35248,495.23,-37.78,7596,0.54839
29.2,35253,494.86,-37.77,7597.8,0.54803
29.21,35258,494.48,-37.76,7599.6,0.54768
29.22,35263,494.1,-37.751,7601.5,0.54732
29.23,35268,493.72,-37.741,7603.3,0.54697
29.24,35273,493.35,-37.731,7605.1,0.54661
29.25,35278,492.97,-37.721,7607,0.54626
29.26,35283,492.59,-37.712,7608.8,0.5459
29.27,35288,492.21,-37.702,7610.7,0.54555
29.28,35293,491.84,-37.692,7612.5,0.54519
29.29,35298,491.46,-37.683,7614.3,0.54484
29.3,35302,491.08,-37.673,7616.2,0.54448
29.31,35307,490.71,-37.663,7618,0.54413
29.32,35312,490.33,-37.654,7619.8,0.54377
29.33,35317,489.95,-37.644,7621.7,0.54342
29.34,35322,489.58,-37.635,7623.5,0.54307
29.35,35327,489.2,-37.625,7625.3,0.54271
29.36,35332,488.83,-37.615,7627.2,0.54236
29.37,35337,488.45,-37.606,7629,0.54201
29.38,35342,488.07,-37.596,7630.8,0.54165
29.39,35347,487.7,-37.587,7632.7,0.5413
29.4,35351,487.32,-37.577,7634.5,0.54095
29.41,35356,486.95,-37.568,7636.3,0.54059
29.42,35361,486.57,-37.558,7638.2,0.54024
29.43,35366,486.19,-37.549,7640,0.53989
29.44,35371,485.82,-37.54,7641.8,0.53953
29.45,35376,485.44,-37.53,7643.7,0.53918
29.46,35381,485.07,-37.521,7645.5,0.53883
29.47,35385,484.69,-37.511,7647.3,0.53848
29.48,35390,484.32,-37.502,7649.1,0.53812
29.49,35395,483.94,-37.493,7651,0.53777
29.5,35400,483.57,-37.483,7652.8,0.53742
29.51,35405,483.19,-37.474,7654.6,0.53707
29.52,35410,482.82,-37.465,7656.5,0.53671
29.53,35414,482.44,-37.455,7658.3,0.53636
29.54,35419,482.07,-37.446,7660.1,0.53601
29.55,35424,481.7,-37.437,7662,0.53566
29.56,35429,481.32,-37.428,7663.8,0.53531
29.57,35434,480.95,-37.418,7665.6,0.53496
29.58,35439,480.57,-37.409,7667.4,0.5346
29.59,35443,480.2,-37.4,7669.3,0.53425
29.6,35448,479.82,-37.391,7671.1,0.5339
29.61,35453,479.45,-37.381,7672.9,0.53355
29.62,35458,479.08,-37.372,7674.8,0.5332
29.63,35463,478.7,-37.363,7676.6,0.53285
29.64,35467,478.33,-37.354,7678.4,0.5325
29.65,35472,477.96,-37.345,7680.2,0.53215
29.66,35477,477.58,-37.336,7682.1,0.5318
29.67,35482,477.21,-37.327,7683.9,0.53145
29.68,35486,476.84,-37.318,7685.7,0.5311
29.69,35491,476.46,-37.308,7687.5,0.53075
29.7,35496,476.09,-37.299,7689.4,0.5304
29.71,35501,475.72,-37.29,7691.2,0.53005
29.72,35505,475.34,-37.281,7693,0.5297
29.73,35510,474.97,-37.272,7694.8,0.52935
29.74,35515,474.6,-37.263,7696.7,0.529
29.75,35520,474.23,-37.254,7698.5,0.52865
29.76,35524,473.85,-37.245,7700.3,0.5283
29.77,35529,473.48,-37.236,7702.1,0.52795
29.78,35534,473.11,-37.227,7704,0.5276
29.79,35539,472.74,-37.218,7705.8,0.52725
29.8,35543,472.37,-37.209,7707.6,0.5269
29.81,35548,471.99,-37.2,7709.4,0.52655
29.82,35553,471.62,-37.192,7711.3,0.5262
29.83,35557,471.25,-37.183,7713.1,0.52586
29.84,35562,470.88,-37.174,7714.9,0.52551
29.85,35567,470.51,-37.165,7716.7,0.52516
29.86,35572,470.13,-37.156,7718.5,0.52481
29.87,35576,469.76,-37.147,7720.4,0.52446
29.88,35581,469.39,-37.138,7722.2,0.52411
29.89,35586,469.02,-37.129,7724,0.52377
29.9,35590,468.65,-37.121,7725.8,0.52342
29.91,35595,468.28,-37.112,7727.6,0.52307
29.92,35600,467.91,-37.103,7729.5,0.52272
29.93,35604,467.54,-37.094,7731.3,0.52237
29.94,35609,467.16,-37.085,7733.1,0.52203
29.95,35614,466.79,-37.077,7734.9,0.52168
29.96,35618,466.42,-37.068,7736.7,0.52133
29.97,35623,466.05,-37.059,7738.6,0.52098
29.98,35628,465.68,-37.05,7740.4,0.52064
29.99,35632,465.31,-37.042,7742.2,0.52029
30,35637,464.94,-37.033,7744,0.51994
30.01,35642,464.57,-37.024,7745.8,0.5196
30.02,35646,464.2,-37.016,7747.7,0.51925
30.03,35651,463.83,-37.007,7749.5,0.5189
30.04,35656,463.46,-36.998,7751.3,0.51856
30.05,35660,463.09,-36.99,7753.1,0.51821
30.06,35665,462.72,-36.981,7754.9,0.51786
30.07,35670,462.35,-36.973,7756.7,0.51752
30.08,35674,461.98,-36.964,7758.6,0.51717
30.09,35679,461.61,-36.955,7760.4,0.51683
30.1,35683,461.24,-36.947,7762.2,0.51648
30.11,35688,460.87,-36.938,7764,0.51613
30.12,35693,460.5,-36.93,7765.8,0.51579
30.13,35697,460.13,-36.921,7767.6,0.51544
30.14,35702,459.76,-36.913,7769.5,0.5151
30.15,35706,459.4,-36.904,7771.3,0.51475
30.16,35711,459.03,-36.896,7773.1,0.51441
30.17,35716,458.66,-36.887,7774.9,0.51406
30.18,35720,458.29,-36.879,7776.7,0.51372
30.19,35725,457.92,-36.87,7778.5,0.51337
30.2,35729,457.55,-36.862,7780.3,0.51303
30.21,35734,457.18,-36.853,7782.2,0.51268
30.22,35738,456.81,-36.845,7784,0.51234
30.23,35743,456.45,-36.836,7785.8,0.51199
30.24,35748,456.08,-36.828,7787.6,0.51165
30.25,35752,455.71,-36.82,7789.4,0.5113
30.26,35757,455.34,-36.811,7791.2,0.51096
30.27,35761,454.97,-36.803,7793,0.51062
30.28,35766,454.61,-36.795,7794.9,0.51027
30.29,35770,454.24,-36.786,7796.7,0.50993
30.3,35775,453.87,-36.778,7798.5,0.50958
30.31,35779,453.5,-36.77,7800.3,0.50924
30.32,35784,453.13,-36.761,7802.1,0.5089
30.33,35788,452.77,-36.753,7803.9,0.50855
30.34,35793,452.4,-36.745,7805.7,0.50821
30.35,35798,452.03,-36.737,7807.5,0.50787
30.36,35802,451.66,-36.728,7809.3,0.50752
30.37,35807,451.3,-36.72,7811.2,0.50718
30.38,35811,450.93,-36.712,7813,0.50684
30.39,35816,450.56,-36.704,7814.8,0.50649
30.4,35820,450.2,-36.695,7816.6,0.50615
30.41,35825,449.83,-36.687,7818.4,0.50581
30.42,35829,449.46,-36.679,7820.2,0.50546
30.43,35834,449.1,-36.671,7822,0.50512
30.44,35838,448.73,-36.663,7823.8,0.50478
30.45,35843,448.36,-36.655,7825.6,0.50444
30.46,35847,448,-36.647,7827.4,0.5041
30.47,35852,447.63,-36.638,7829.2,0.50375
30.48,35856,447.26,-36.63,7831.1,0.50341
30.49,35860,446.9,-36.622,7832.9,0.50307
30.5,35865,446.53,-36.614,7834.7,0.50273
30.51,35869,446.16,-36.606,7836.5,0.50239
30.52,35874,445.8,-36.598,7838.3,0.50204
30.53,35878,445.43,-36.59,7840.1,0.5017
30.54,35883,445.07,-36.582,7841.9,0.50136
30.55,35887,444.7,-36.574,7843.7,0.50102
30.56,35892,444.33,-36.566,7845.5,0.50068
30.57,35896,443.97,-36.558,7847.3,0.50034
30.58,35901,443.6,-36.55,7849.1,0.5
30.59,35905,443.24,-36.542,7850.9,0.49966
30.6,35909,442.87,-36.534,7852.7,0.49931
30.61,35914,442.51,-36.526,7854.5,0.49897
30.62,35918,442.14,-36.518,7856.3,0.49863
30.63,35923,441.78,-36.511,7858.1,0.49829
30.64,35927,441.41,-36.503,7860,0.49795
30.65,35932,441.05,-36.495,7861.8,0.49761
30.66,35936,440.68,-36.487,7863.6,0.49727
30.67,35940,440.32,-36.479,7865.4,0.49693
30.68,35945,439.95,-36.471,7867.2,0.49659
30.69,35949,439.59,-36.463,7869,0.49625
30.7,35954,439.22,-36.456,7870.8,0.49591
30.71,35958,438.86,-36.448,7872.6,0.49557
30.72,35962,438.49,-36.44,7874.4,0.49523
30.73,35967,438.13,-36.432,7876.2,0.49489
30.74,35971,437.77,-36.424,7878,0.49455
30.75,35975,437.4,-36.417,7879.8,0.49421
30.76,35980,437.04,-36.409,7881.6,0.49387
30.77,35984,436.67,-36.401,7883.4,0.49354
30.78,35989,436.31,-36.393,7885.2,0.4932
30.79,35993,435.95,-36.386,7887,0.49286
30.8,35997,435.58,-36.378,7888.8,0.49252
30.81,36002,435.22,-36.37,7890.6,0.49218
30.82,36006,434.85,-36.363,7892.4,0.49184
30.83,36010,434.49,-36.355,7894.2,0.4915
30.84,36015,434.13,-36.347,7896,0.49116
30.85,36019,433.76,-36.34,7897.8,0.49083
30.86,36023,433.4,-36.332,7899.6,0.49049
30.87,36028,433.04,-36.324,7901.4,0.49015
30.88,36032,432.67,-36.317,7903.2,0.48981
30.89,36036,432.31,-36.309,7905,0.48947
30.9,36041,431.95,-36.301,7906.8,0.48914
30.91,36045,431.58,-36.294,7908.6,0.4888
30.92,36049,431.22,-36.286,7910.4,0.48846
30.93,36054,430.86,-36.279,7912.2,0.48812
30.94,36058,430.5,-36.271,7914,0.48779
30.95,36062,430.13,-36.264,7915.8,0.48745
30.96,36066,429.77,-36.256,7917.6,0.48711
30.97,36071,429.41,-36.249,7919.4,0.48677
30.98,36075,429.05,-36.241,7921.2,0.48644
30.99,36079,428.68,-36.234,7923,0.4861
31,36084,428.32,-36.226,7924.8,0.48576
31.01,36088,427.96,-36.219,7926.6,0.48543
31.02,36092,427.6,-36.211,7928.4,0.48508
31.03,36096,427.23,-36.203,7930.2,0.48474
31.04,36101,426.87,-36.196,7932,0.4844
31.05,36105,426.51,-36.188,7933.8,0.48405
31.06,36109,426.15,-36.181,7935.6,0.48371
31.07,36114,425.79,-36.173,7937.4,0.48336
31.08,36118,425.43,-36.166,7939.2,0.48302
31.09,36122,425.06,-36.158,7940.9,0.48267
31.1,36126,424.7,-36.151,7942.7,0.48233
31.11,36131,424.34,-36.143,7944.5,0.48199
31.12,36135,423.98,-36.136,7946.3,0.48164
31.13,36139,423.62,-36.128,7948.1,0.4813
31.14,36143,423.26,-36.121,7949.9,0.48095
31.15,36147,422.9,-36.113,7951.7,0.48061
31.16,36152,422.53,-36.106,7953.5,0.48027
31.17,36156,422.17,-36.099,7955.3,0.47992
31.18,36160,421.81,-36.091,7957.1,0.47958
31.19,36164,421.45,-36.084,7958.9,0.47924
31.2,36169,421.09,-36.076,7960.7,0.4789
31.21,36173,420.73,-36.069,7962.5,0.47855
31.22,36177,420.37,-36.062,7964.3,0.47821
31.23,36181,420.01,-36.054,7966.1,0.47787
31.24,36185,419.65,-36.047,7967.9,0.47752
31.25,36190,419.29,-36.04,7969.6,0.47718
31.26,36194,418.93,-36.032,7971.4,0.47684
31.27,36198,418.57,-36.025,7973.2,0.4765
31.28,36202,418.21,-36.018,7975,0.47616
31.29,36206,417.85,-36.01,7976.8,0.47581
31.3,36211,417.49,-36.003,7978.6,0.47547
31.31,36215,417.13,-35.996,7980.4,0.47513
31.32,36219,416.77,-35.989,7982.2,0.47479
31.33,36223,416.41,-35.981,7984,0.47445
31.34,36227,416.05,-35.974,7985.8,0.47411
31.35,36231,415.69,-35.967,7987.6,0.47377
31.36,36235,415.33,-35.96,7989.3,0.47343
31.37,36240,414.97,-35.953,7991.1,0.47308
31.38,36244,414.61,-35.945,7992.9,0.47274
31.39,36248,414.25,-35.938,7994.7,0.4724
31.4,36252,413.89,-35.931,7996.5,0.47206
31.41,36256,413.53,-35.924,7998.3,0.47172
31.42,36260,413.17,-35.917,8000.1,0.47138
31.43,36264,412.81,-35.91,8001.9,0.47104
31.44,36269,412.45,-35.903,8003.7,0.4707
31.45,36273,412.09,-35.895,8005.4,0.47036
31.46,36277,411.74,-35.888,8007.2,0.47002
31.47,36281,411.38,-35.881,8009,0.46968
31.48,36285,411.02,-35.874,8010.8,0.46934
31.49,36289,410.66,-35.867,8012.6,0.469
31.5,36293,410.3,-35.86,8014.4,0.46866
31.51,36297,409.94,-35.853,8016.2,0.46833
31.52,36301,409.58,-35.846,8018,0.46799
31.53,36306,409.23,-35.839,8019.7,0.46765
31.54,36310,408.87,-35.832,8021.5,0.46731
31.55,36314,408.51,-35.825,8023.3,0.46697
31.56,36318,408.15,-35.818,8025.1,0.46663
31.57,36322,407.79,-35.811,8026.9,0.46629
31.58,36326,407.43,-35.804,8028.7,0.46595
31.59,36330,407.08,-35.797,8030.5,0.46562
31.6,36334,406.72,-35.79,8032.2,0.46528
31.61,36338,406.36,-35.783,8034,0.46494
31.62,36342,406,-35.776,8035.8,0.4646
31.63,36346,405.65,-35.77,8037.6,0.46426
31.64,36350,405.29,-35.763,8039.4,0.46393
31.65,36354,404.93,-35.756,8041.2,0.46359
31.66,36358,404.57,-35.749,8043,0.46325
31.67,36363,404.21,-35.742,8044.7,0.46291
31.68,36367,403.86,-35.735,8046.5,0.46258
31.69,36371,403.5,-35.728,8048.3,0.46224
31.7,36375,403.14,-35.721,8050.1,0.4619
31.71,36379,402.79,-35.715,8051.9,0.46157
31.72,36383,402.43,-35.708,8053.7,0.46123
31.73,36387,402.07,-35.701,8055.4,0.46089
31.74,36391,401.71,-35.694,8057.2,0.46056
31.75,36395,401.36,-35.687,8059,0.46022
31.76,36399,401,-35.681,8060.8,0.45988
31.77,36403,400.64,-35.674,8062.6,0.45955
31.78,36407,400.29,-35.667,8064.3,0.45921
31.79,36411,399.93,-35.66,8066.1,0.45888
31.8,36415,399.57,-35.654,8067.9,0.45854
31.81,36419,399.22,-35.647,8069.7,0.45821
31.82,36423,398.86,-35.64,8071.5,0.45787
31.83,36427,398.5,-35.634,8073.3,0.45753
31.84,36431,398.15,-35.627,8075,0.4572
31.85,36435,397.79,-35.62,8076.8,0.45686
31.86,36439,397.44,-35.614,8078.6,0.45653
31.87,36443,397.08,-35.607,8080.4,0.45619
31.88,36447,396.72,-35.6,8082.2,0.45586
31.89,36451,396.37,-35.594,8083.9,0.45552
31.9,36455,396.01,-35.587,8085.7,0.45519
31.91,36459,395.66,-35.58,8087.5,0.45486
31.92,36462,395.3,-35.574,8089.3,0.45452
31.93,36466,394.94,-35.567,8091.1,0.45419
31.94,36470,394.59,-35.561,8092.8,0.45385
31.95,36474,394.23,-35.554,8094.6,0.45352
31.96,36478,393.88,-35.547,8096.4,0.45318
31.97,36482,393.52,-35.541,8098.2,0.45285
31.98,36486,393.17,-35.534,8099.9,0.45252
31.99,36490,392.81,-35.528,8101.7,0.45218
32,36494,392.46,-35.521,8103.5,0.45185
32.01,36498,392.1,-35.515,8105.3,0.45152
32.02,36502,391.75,-35.508,8107.1,0.45118
32.03,36506,391.39,-35.502,8108.8,0.45085
32.04,36510,391.04,-35.495,8110.6,0.45052
32.05,36514,390.68,-35.489,8112.4,0.45018
32.06,36517,390.33,-35.482,8114.2,0.44985
32.07,36521,389.97,-35.476,8115.9,0.44952
32.08,36525,389.62,-35.469,8117.7,0.44919
32.09,36529,389.26,-35.463,8119.5,0.44885
32.1,36533,388.91,-35.457,8121.3,0.44852
32.11,36537,388.55,-35.45,8123,0.44819
32.12,36541,388.2,-35.444,8124.8,0.44786
32.13,36545,387.84,-35.437,8126.6,0.44753
32.14,36549,387.49,-35.431,8128.4,0.44719
32.15,36552,387.14,-35.424,8130.1,0.44686
32.16,36556,386.78,-35.418,8131.9,0.44653
32.17,36560,386.43,-35.412,8133.7,0.4462
32.18,36564,386.07,-35.405,8135.5,0.44587
32.19,36568,385.72,-35.399,8137.2,0.44554
32.2,36572,385.37,-35.393,8139,0.44521
32.21,36576,385.01,-35.386,8140.8,0.44488
32.22,36579,384.66,-35.38,8142.6,0.44454
32.23,36583,384.3,-35.374,8144.3,0.44421
32.24,36587,383.95,-35.367,8146.1,0.44388
32.25,36591,383.6,-35.361,8147.9,0.44355
32.26,36595,383.24,-35.355,8149.7,0.44322
32.27,36599,382.89,-35.349,8151.4,0.44289
